;2;3;4;5;
[6(70.000000%)|5(40.000000%)|5(40.000000%)];8363€|87.7993%|12.2007%|0%;11202€|91.0005%|8.99945%|-5.55112e-15%;15003.8€|93.992%|6.008%|8.32667e-15%;19019.4€|92.1327%|7.86731%|1.38778e-15%;
[6(70.000000%)|5(40.000000%)|6(40.000000%)];8363€|93.9951%|6.00494%|-1.04083e-14%;11202€|93.2147%|6.7853%|0%;15003.8€|93.1989%|6.80109%|5.55112e-15%;19019.4€|92.7983%|7.20166%|1.52656e-14%;
[6(70.000000%)|6(40.000000%)|0(40.000000%)];8363€|83.9321%|16.0679%|-1.11022e-14%;11202€|89.7104%|10.2896%|-4.16334e-15%;15003.8€|91.0214%|7.9786%|1%;19019.4€|90.3155%|7.6845%|2%;
[6(70.000000%)|6(40.000000%)|4(40.000000%)];8363€|87.1235%|12.8765%|2.77556e-15%;11202€|92.582%|7.41799%|-5.55112e-15%;15003.8€|91.8786%|8.12145%|-8.32667e-15%;19019.4€|92.8425%|7.15753%|0%;
[6(70.000000%)|6(40.000000%)|5(40.000000%)];8363€|90.2996%|9.70043%|9.71445e-15%;11202€|89.8247%|10.1753%|4.16334e-15%;15003.8€|94.2927%|5.70732%|6.245e-15%;19019.4€|90.7677%|9.23225%|1.38778e-15%;
[6(70.000000%)|6(40.000000%)|6(40.000000%)];8363€|83.409%|7.59099%|9%;11202€|88.8071%|10.1929%|1%;15003.8€|93.709%|6.29104%|-1.52656e-14%;19019.4€|92.1655%|7.83452%|1.38778e-15%;
[0(70.000000%)|0(40.000000%)];8363€|1%|60%|39%;11202€|6%|60%|34%;15003.8€|0%|60%|40%;19019.4€|0%|60%|40%;
[0(70.000000%)|4(40.000000%)];8363€|15%|60%|25%;11202€|4%|60%|36%;15003.8€|25%|60%|15%;19019.4€|2%|60%|38%;
[0(70.000000%)|5(40.000000%)];8363€|0%|60%|40%;11202€|6%|60%|34%;15003.8€|0%|60%|40%;19019.4€|3.16834%|53.8317%|43%;
[0(70.000000%)|6(40.000000%)];8363€|0%|60%|40%;11202€|0%|60%|40%;15003.8€|2%|60%|38%;19019.4€|4%|60%|36%;
[4(70.000000%)|0(40.000000%)];8363€|12%|60%|28%;11202€|6%|60%|34%;15003.8€|48.6703%|51.3297%|-1.11022e-14%;19019.4€|39.1084%|49.8916%|11%;
[4(70.000000%)|4(40.000000%)];8363€|0%|60%|40%;11202€|7%|52.3714%|40.6286%;15003.8€|62.7802%|37.2198%|-5.55112e-15%;19019.4€|66.773%|25.227%|8%;
[4(70.000000%)|5(40.000000%)];8363€|12%|60%|28%;11202€|57.3317%|42.6683%|5.55112e-15%;15003.8€|69.1759%|24.8241%|6%;19019.4€|58.1939%|34.8061%|7%;
[4(70.000000%)|6(40.000000%)];8363€|0%|60%|40%;11202€|0%|60%|40%;15003.8€|73.9433%|25.0567%|1%;19019.4€|60.5176%|28.4824%|11%;
[5(70.000000%)|0(40.000000%)];8363€|0%|60%|40%;11202€|0%|60%|40%;15003.8€|44.0953%|48.9047%|7%;19019.4€|47.7167%|25.2833%|27%;
[5(70.000000%)|4(40.000000%)];8363€|8%|60%|32%;11202€|39.5908%|41.4092%|19%;15003.8€|45.3154%|38.6846%|16%;19019.4€|66.2258%|33.7742%|-1.11022e-14%;
[5(70.000000%)|5(40.000000%)];8363€|0%|60%|40%;11202€|7%|60%|33%;15003.8€|36.4444%|55.5556%|8%;19019.4€|61.1831%|31.8169%|7%;
[5(70.000000%)|6(40.000000%)];8363€|0%|60%|40%;11202€|48.6577%|49.3423%|2%;15003.8€|4%|60%|36%;19019.4€|44.7297%|34.2703%|21%;
[6(70.000000%)|0(40.000000%)];8363€|10%|60%|30%;11202€|0%|60%|40%;15003.8€|4%|60%|36%;19019.4€|5%|60%|35%;
[6(70.000000%)|4(40.000000%)];8363€|0%|60%|40%;11202€|2%|60%|38%;15003.8€|10%|60%|30%;19019.4€|4%|60%|36%;
[6(70.000000%)|5(40.000000%)];8363€|0%|60%|40%;11202€|7%|60%|33%;15003.8€|26%|60%|14%;19019.4€|2%|60%|38%;
[6(70.000000%)|6(40.000000%)];8363€|0%|60%|40%;11202€|18%|60%|22%;15003.8€|17%|60%|23%;19019.4€|29.9945%|55.0055%|15%;
[0(70.000000%)];8363€|10%|60%|30%;11202€|7%|60%|33%;15003.8€|19%|60%|21%;19019.4€|7%|60%|33%;
[4(70.000000%)];8363€|10%|60%|30%;11202€|0%|60%|40%;15003.8€|60.1672%|34.8328%|5%;19019.4€|56.6824%|29.3176%|14%;
[5(70.000000%)];8363€|0%|60%|40%;11202€|25%|60%|15%;15003.8€|54.1938%|29.8062%|16%;19019.4€|27.7476%|58.2524%|14%;
[6(70.000000%)];8363€|5%|60%|35%;11202€|0%|60%|40%;15003.8€|14%|60%|26%;19019.4€|17%|60%|23%;
];8363€|73.3873%|17.6127%|9%;11202€|88.7307%|11.2693%|0%;15003.8€|87.3936%|12.6064%|1.66533e-14%;19019.4€|87.7838%|12.2162%|8.32667e-15%;
