;1;2;3;4;5;
[6(70.000000%)|5(40.000000%)|5(40.000000%)];8234€|62%|19%|19%;3919€|11%|35%|54%;3727.33€|54.8342%|40.1658%|5%;2691.5€|6.1761%|77.8239%|16%;2071€|17%|60%|23%;
[6(70.000000%)|5(40.000000%)|6(40.000000%)];7221€|0%|45.7573%|54.2427%;3457€|44.8357%|22.1643%|33%;2962€|14%|52%|34%;2329.5€|8%|66.0593%|25.9407%;2178.6€|40%|15%|45%;
[6(70.000000%)|6(40.000000%)|0(40.000000%)];4799€|27.2663%|55.7337%|17%;2860€|31.9915%|62.0085%|6%;1685.33€|8.04984%|19.9502%|72%;1689.25€|42.5146%|43.4854%|14%;1600.6€|9%|15%|76%;
[6(70.000000%)|6(40.000000%)|4(40.000000%)];7689€|3%|75%|22%;3893€|0%|22%|78%;2808.67€|0%|33.9498%|66.0502%;2595.25€|5%|71.4584%|23.5416%;2094.6€|2%|46.9612%|51.0388%;
[6(70.000000%)|6(40.000000%)|5(40.000000%)];9671€|7.85386%|63.1461%|29%;4178€|44.241%|55.759%|1.11022e-14%;2973€|0%|55%|45%;2068.25€|8.54276%|70.4572%|21%;2257.8€|38.3719%|42.6281%|19%;
[6(70.000000%)|6(40.000000%)|6(40.000000%)];6747€|5%|52%|43%;4951€|0%|61.5825%|38.4175%;3494€|16.3379%|78.6621%|5%;1767.5€|5%|11%|84%;1516€|40.5446%|38.4554%|21%;
[0(70.000000%)|0(40.000000%)];199€|19%|21%|60%;216€|16.1077%|83.8923%|-1.11022e-14%;189€|30.5624%|58.4376%|11%;198€|4%|52%|44%;227€|7%|43%|50%;
[0(70.000000%)|4(40.000000%)];1174€|9%|61.9809%|29.0191%;903€|16%|61%|23%;776€|4%|41%|55%;815.75€|10%|70%|20%;736.8€|34%|56%|10%;
[0(70.000000%)|5(40.000000%)];1418€|15%|8%|77%;791.5€|0%|18%|82%;769€|48.6723%|42.3277%|9%;803€|8%|85%|7%;805.6€|19%|54%|27%;
[0(70.000000%)|6(40.000000%)];1286€|14.7377%|58.2623%|27%;1010€|15.4203%|56.5797%|28%;782.333€|16%|55.1445%|28.8555%;824.75€|33.2255%|45.7745%|21%;725€|52.1713%|47.8287%|0%;
